
   5185.18 ba 00 02 a2 4c 77 21 21 04 00 07 03 00 ff ff ff ff ff 0d 00 02 a2 4c 77 02 a2 4c 77 00 20 03 00 08 07 03 00 07 ff ff ff ff cc cc cc cc cc cc cc cc cc cc 87 b5, CRC Match is True
     75.03 ba 06 02 a2 4c 77 21 21 04 00 07 03 00 ff ff ff ff ff 0d 00 02 a2 4c 77 02 a2 4c 77 00 20 03 00 08 07 03 00 07 ff ff ff ff cc cc cc cc cc cc cc cc cc cc 7d 8b, CRC Match is True
     75.06 ba 0c 02 a2 4c 77 21 21 04 00 07 03 00 ff ff ff ff ff 0d 00 02 a2 4c 77 02 a2 4c 77 00 20 03 00 08 07 03 00 07 ff ff ff ff cc cc cc cc cc cc cc cc cc cc b9 c6, CRC Match is True
     74.99 ba 12 02 a2 4c 77 21 21 04 00 07 03 00 ff ff ff ff ff 0d 00 02 a2 4c 77 02 a2 4c 77 00 20 03 00 08 07 03 00 07 ff ff ff ff cc cc cc cc cc cc cc cc cc cc 3f 1e, CRC Match is True
     74.94 ba 18 02 a2 4c 77 21 21 04 00 07 03 00 ff ff ff ff ff 0d 00 02 a2 4c 77 02 a2 4c 77 00 20 03 00 08 07 03 00 07 ff ff ff ff cc cc cc cc cc cc cc cc cc cc fb 53, CRC Match is True
     75.07 ba 1e 02 a2 4c 77 21 21 04 00 07 03 00 ff ff ff ff ff 0d 00 02 a2 4c 77 02 a2 4c 77 00 20 03 00 08 07 03 00 07 ff ff ff ff cc cc cc cc cc cc cc cc cc cc 01 6d, CRC Match is True
     74.98 ba 24 02 a2 4c 77 21 21 04 00 07 03 00 ff ff ff ff ff 0d 00 02 a2 4c 77 02 a2 4c 77 00 20 03 00 08 07 03 00 07 ff ff ff ff cc cc cc cc cc cc cc cc cc cc 3c ec, CRC Match is True
     74.94 ba 2a 02 a2 4c 77 21 21 04 00 07 03 00 ff ff ff ff ff 0d 00 02 a2 4c 77 02 a2 4c 77 00 20 03 00 08 07 03 00 07 ff ff ff ff cc cc cc cc cc cc cc cc cc cc ed 70, CRC Match is True
     75.02 ba 30 02 a2 4c 77 21 21 04 00 07 03 00 ff ff ff ff ff 0d 00 02 a2 4c 77 02 a2 4c 77 00 20 03 00 08 07 03 00 07 ff ff ff ff cc cc cc cc cc cc cc cc cc cc 7e 79, CRC Match is True
     75.00 ba 36 02 a2 4c 77 21 21 04 00 07 03 00 ff ff ff ff ff 0d 00 02 a2 4c 77 02 a2 4c 77 00 20 03 00 08 07 03 00 07 ff ff ff ff cc cc cc cc cc cc cc cc cc cc 84 47, CRC Match is True
     74.89 ba 3c 02 a2 4c 77 21 21 04 00 07 03 00 ff ff ff ff ff 0d 00 02 a2 4c 77 02 a2 4c 77 00 20 03 00 08 07 03 00 07 ff ff ff ff cc cc cc cc cc cc cc cc cc cc 40 0a, CRC Match is True
     75.10 ba 42 02 a2 4c 77 21 21 04 00 07 03 00 ff ff ff ff ff 0d 00 02 a2 4c 77 02 a2 4c 77 00 20 03 00 08 07 03 00 07 ff ff ff ff cc cc cc cc cc cc cc cc cc cc ff 45, CRC Match is True
     75.01 ba 00 02 a2 4c 77 21 21 04 00 07 03 00 ff ff ff ff ff 0d 00 02 a2 4c 77 02 a2 4c 77 00 20 03 00 08 07 03 00 07 ff ff ff ff cc cc cc cc cc cc cc cc cc cc 87 b5, CRC Match is True
     74.99 ba 06 02 a2 4c 77 21 21 04 00 07 03 00 ff ff ff ff ff 0d 00 02 a2 4c 77 02 a2 4c 77 00 20 03 00 08 07 03 00 07 ff ff ff ff cc cc cc cc cc cc cc cc cc cc 7d 8b, CRC Match is True
     74.89 ba 0c 02 a2 4c 77 21 21 04 00 07 03 00 ff ff ff ff ff 0d 00 02 a2 4c 77 02 a2 4c 77 00 20 03 00 08 07 03 00 07 ff ff ff ff cc cc cc cc cc cc cc cc cc cc b9 c6, CRC Match is True
     74.99 ba 12 02 a2 4c 77 21 21 04 00 07 03 00 ff ff ff ff ff 0d 00 02 a2 4c 77 02 a2 4c 77 00 20 03 00 08 07 03 00 07 ff ff ff ff cc cc cc cc cc cc cc cc cc cc 3f 1e, CRC Match is True
     75.08 ba 18 02 a2 4c 77 21 21 04 00 07 03 00 ff ff ff ff ff 0d 00 02 a2 4c 77 02 a2 4c 77 00 20 03 00 08 07 03 00 07 ff ff ff ff cc cc cc cc cc cc cc cc cc cc fb 53, CRC Match is True
     75.05 ba 1e 02 a2 4c 77 21 21 04 00 07 03 00 ff ff ff ff ff 0d 00 02 a2 4c 77 02 a2 4c 77 00 20 03 00 08 07 03 00 07 ff ff ff ff cc cc cc cc cc cc cc cc cc cc 01 6d, CRC Match is True
     74.92 ba 24 02 a2 4c 77 21 21 04 00 07 03 00 ff ff ff ff ff 0d 00 02 a2 4c 77 02 a2 4c 77 00 20 03 00 08 07 03 00 07 ff ff ff ff cc cc cc cc cc cc cc cc cc cc 3c ec, CRC Match is True
     75.00 ba 2a 02 a2 4c 77 21 21 04 00 07 03 00 ff ff ff ff ff 0d 00 02 a2 4c 77 02 a2 4c 77 00 20 03 00 08 07 03 00 07 ff ff ff ff cc cc cc cc cc cc cc cc cc cc ed 70, CRC Match is True
     74.92 ba 30 02 a2 4c 77 21 21 04 00 07 03 00 ff ff ff ff ff 0d 00 02 a2 4c 77 02 a2 4c 77 00 20 03 00 08 07 03 00 07 ff ff ff ff cc cc cc cc cc cc cc cc cc cc 7e 79, CRC Match is True
     75.01 ba 36 02 a2 4c 77 21 21 04 00 07 03 00 ff ff ff ff ff 0d 00 02 a2 4c 77 02 a2 4c 77 00 20 03 00 08 07 03 00 07 ff ff ff ff cc cc cc cc cc cc cc cc cc cc 84 47, CRC Match is True
     75.06 ba 3c 02 a2 4c 77 21 21 04 00 07 03 00 ff ff ff ff ff 0d 00 02 a2 4c 77 02 a2 4c 77 00 20 03 00 08 07 03 00 07 ff ff ff ff cc cc cc cc cc cc cc cc cc cc 40 0a, CRC Match is True
     75.01 ba 42 02 a2 4c 77 21 21 04 00 07 03 00 ff ff ff ff ff 0d 00 02 a2 4c 77 02 a2 4c 77 00 20 03 00 08 07 03 00 07 ff ff ff ff cc cc cc cc cc cc cc cc cc cc ff 45, CRC Match is True
     75.06 ba 00 02 a2 4c 77 21 21 04 00 07 03 00 ff ff ff ff ff 0d 00 02 a2 4c 77 02 a2 4c 77 00 20 03 00 08 07 03 00 07 ff ff ff ff cc cc cc cc cc cc cc cc cc cc 87 b5, CRC Match is True
     74.94 ba 06 02 a2 4c 77 21 21 04 00 07 03 00 ff ff ff ff ff 0d 00 02 a2 4c 77 02 a2 4c 77 00 20 03 00 08 07 03 00 07 ff ff ff ff cc cc cc cc cc cc cc cc cc cc 7d 8b, CRC Match is True
     75.03 ba 0c 02 a2 4c 77 21 21 04 00 07 03 00 ff ff ff ff ff 0d 00 02 a2 4c 77 02 a2 4c 77 00 20 03 00 08 07 03 00 07 ff ff ff ff cc cc cc cc cc cc cc cc cc cc b9 c6, CRC Match is True
     74.96 ba 12 02 a2 4c 77 21 21 04 00 07 03 00 ff ff ff ff ff 0d 00 02 a2 4c 77 02 a2 4c 77 00 20 03 00 08 07 03 00 07 ff ff ff ff cc cc cc cc cc cc cc cc cc cc 3f 1e, CRC Match is True
